Year,mean,mean_se,mean_ci_lower,mean_ci_upper
2023,554.0835175550149,16.538048672595536,521.6695377821571,586.4974973278726
2024,584.4292779409296,29.36241772947266,526.8799966921429,641.9785591897164
2025,614.8539041145243,43.26199748676055,530.0619471412112,699.6458610878374
2026,653.3857837431444,58.303578785635715,539.1128691535049,767.658698332784
2027,698.0402904658883,74.39752496402782,552.2238209974743,843.8567599343024
2028,743.4941557575046,91.43901050514539,564.27698838544,922.7113231295692
2029,778.9252644870523,109.33068139878377,564.6410665402129,993.2094624338918
2030,830.997957038596,127.98613501357518,580.1497418915079,1081.8461721856843
2031,887.3775539906574,147.3293412373552,598.6173512994294,1176.1377566818853
2032,916.1336782148093,167.29326975518595,588.2448946387009,1244.0224617909175
2033,957.5394011703966,187.8185258411775,589.4218548922831,1325.65694744851
2034,988.0585895689499,208.91430902918955,578.5940680166673,1397.5231111212324
2035,1032.5594659857725,234.47865646447022,572.9897441720709,1492.129187799474
2036,1069.8941291961767,261.7709418737295,556.832510924539,1582.9557474678145
2037,1107.1336454334507,290.5327223128933,537.6999733698033,1676.5673174970982
2038,1152.310735010805,320.5559735950192,524.0325717353949,1780.5888982862152
2039,1203.4449963370907,351.6717882930766,514.180956903866,1892.7090357703155
2040,1255.2172804666427,383.74128477274536,503.09818293093315,2007.3363780023524
2041,1296.8094892770116,416.648678385788,480.193085434655,2113.425893119368
2042,1354.8898801435178,450.29610956574726,472.32572301615096,2237.4540372708843
2043,1417.1275931089765,484.5998013805819,467.32943548777246,2366.9257507301804
2044,1451.5959754105613,519.4871937814147,433.4197851692086,2469.7721656519143
2045,1498.5717301423322,554.8947893806077,410.9979277474022,2586.145532537262
2046,1534.5222652285063,590.8234723727566,376.5295381570079,2692.5149923000045
2047,1584.3192562864087,630.3013796321543,348.9512528014784,2819.687259771339
2048,1626.8181691580232,671.3250124532165,311.04532282881564,2942.591015487231
2049,1669.09335330861,713.7151092205562,270.2374440142487,3067.9492626029714
2050,1719.1807305360046,757.3141716545834,234.87222911123672,3203.4892319607725
