Year,Africa,Asia,Russia,North America,South America,East Europe,West Europe
2023,12.09016166,806.0794083899029,233.4512348,898.7510333078077,23.63243542,168.30396845972524,613.9225504896422
2024,11.92881544,846.5090508054752,237.8017796,934.6610675491984,22.73248846,174.41875338415326,620.1656943323594
2025,15.16720411,887.4210763300068,236.3967385,973.2347963106,33.43579608,183.42880021134948,635.3610820139322
2026,15.60976875,936.8600196314299,239.3801407,1010.6387484696214,33.56060846,192.28700723492773,651.3530959221349
2027,9.855319056,992.8580478236803,248.8288341,1052.0230019118558,34.16918041,200.53466991082587,675.221174380364
2028,15.00534879,1050.1093575229145,248.3346373,1092.8233254733589,31.21631479,207.83218870665553,690.795963631316
2029,15.73399608,1097.8099978383889,251.4346631,1136.4503321390964,28.63931296,212.82797533077763,693.5308719407406
2030,10.93230364,1162.6432002394054,244.9588583,1183.7874259132439,32.98316158,219.76759192830548,739.3434328941051
2031,14.04281411,1232.2939324413865,253.3763415,1228.5000230630849,30.86881871,229.58352259832265,701.3982182219154
2032,11.17673542,1274.8522503558581,266.8419008,1277.0537786743116,32.6753375,238.99471766473619,736.5699111124693
2033,12.80411581,1330.6124764509182,270.4088629,1328.2593247318443,32.82004951,251.96361996036336,710.8318062039777
2034,9.32169452,1376.0605785706296,271.9911131,1379.3457650768714,33.86561286,257.9402222830739,769.4756959612567
2035,12.22172816,1436.0877649637139,282.2026104,1434.943356487615,33.67057629,266.3558874090828,729.9404750756117
2036,12.06038194,1489.5700396739383,286.5531552,1491.9513328084568,34.10447358,276.5520436018135,742.9168584970816
2037,15.2987706,1543.6033311466892,285.1481141,1552.8984861994313,32.93471278,289.29847063713,768.0025059108866
2038,15.74133525,1606.2462173083957,288.1315163,1613.3296630457792,32.24166511,302.1408355711651,789.562608796779
2039,9.986885553,1675.5451867777479,297.5802098,1678.7978431652525,33.08098923,314.71715142746723,791.3599737159657
2040,15.13691528,1746.2090592700029,297.0860129,1744.570097979161,35.53965561,326.76204510873146,843.1429974804344
2041,15.86556258,1807.448823658125,300.1860387,1814.2107297918046,33.39721514,337.1925922579976,871.3956219898208
2042,11.06387014,1885.9629877570678,293.7102339,1888.578657731921,33.91251304,349.4500084968705,875.9374939614482
2043,14.17438061,1969.4521529001413,302.1277171,1961.4170590891242,35.90860538,364.2981882390608,977.239874259833
2044,11.30830192,2026.0223863791875,315.5932764,2039.214652928036,35.97842994,379.16115216735955,974.3621039178054
2045,12.93568231,2095.9844218231347,319.1602385,2120.8384323829223,37.63971067,398.16536641204215,1067.5088418374446
2046,9.453261017,2155.8410575925077,320.7424887,2203.557987466169,34.61525129,410.56522445366056,1038.1272808572742
2047,12.35329465,2230.5007772705567,330.953986,2292.055834624859,36.31421864,425.085458480219,1134.2859739986238
2048,12.19194844,2298.8573273349084,335.3045308,2383.2798724610966,35.35810483,441.64190506885257,1170.595701847747
2049,15.4303371,2368.0248690969947,333.8994897,2479.8126896235503,46.56137551,461.10061728033,1215.358452526183
2050,15.87290174,2446.080730999998,336.8828919,2577.253298399993,46.72062716,480.90502236899886,1264.8824489299968
