Year,mean,mean_se,mean_ci_lower,mean_ci_upper
2023,29074.41710796803,369.7890957236222,28349.6437984741,29799.190417461963
2024,29361.447363302643,507.58107658180836,28366.60673396823,30356.287992637055
2025,29690.084437016012,615.2441794310615,28484.228003633234,30895.94087039879
2026,30119.548940463643,706.6909126867266,28734.46020339592,31504.637677531366
2027,30541.136762812537,787.5904284597551,28997.487888462947,32084.785637162127
2028,31045.443552517878,860.9212040317892,29358.06899908871,32732.818105947044
2029,31556.16624509144,928.478301430883,29736.382213859986,33375.950276322896
2030,32092.003132164944,991.4426842700385,30148.81117825995,34035.195086069936
2031,32756.649315597173,1050.64042944255,30697.43191318808,34815.86671800627
2032,33112.529148477544,1106.676429974918,30943.48320318734,35281.575093767744
2033,33623.442001613665,1159.7683903127145,31350.337726192753,35896.54627703458
2034,34403.04623929114,1207.9854110334409,32035.438339815784,36770.6541387665
2035,34938.7701048369,1242.9592249555053,32502.61478967229,37374.925420001506
2036,35317.25782282593,1277.688460617647,32813.034456552916,37821.481189098944
2037,35768.60682229391,1311.4982054907532,33198.11757374312,38339.096070844695
2038,36260.07329627221,1344.458009456947,33624.98401901018,38895.16257353424
2039,36611.95759068754,1376.6289034651782,33913.81451981892,39310.10066155616
2040,37173.12921170077,1408.0649618039604,34413.37259867224,39932.885824729296
2041,37780.45601069057,1438.8143508623618,34960.43170256096,40600.48031882018
2042,38499.787504774715,1468.9201999298714,35620.75681674879,41378.81819280064
2043,39037.80889222173,1498.4214387208874,36100.9568386661,41974.66094577736
2044,39227.35458418353,1527.3663692938626,36233.771509169856,42220.9376591972
2045,40147.549297863916,1555.5492686651653,37098.72875510257,43196.36984062526
2046,40879.567524657,1579.9543350364534,37782.91393076762,43976.22111854638
2047,41367.41467396919,1630.5662914799568,38171.56346826344,44563.265879674946
2048,41710.09571040348,1677.8111440380378,38421.64629522898,44998.545125577984
2049,42113.40153525303,1723.7617167401786,38734.89065251335,45491.91241799272
2050,42580.59350226248,1768.518821778011,39114.36030559637,46046.8266989286
